idx,code,reaction
0,0,[C:1](=[C:2]([C:3]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11].[C:4](#[N+:5][C-:6]([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9])[H:16]>>[C:1]1([H:10])([H:11])[C:2]([C:3]([H:13])([H:14])[H:15])([H:12])[C:4]([H:16])=[N:5][C:6]1([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9]
1,0,[C:1](=[C:2]([C:3]([H:13])([H:14])[H:15])[H:12])([H:10])[H:11].[C:4](#[N+:5][C-:6]([C:7]([H:17])([H:18])[H:19])[C:8]#[N:9])[H:16]>>[C:1]1([H:10])([H:11])[C:2]([C:3]([H:13])([H:14])[H:15])([H:12])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]#[N:9])[N:5]=[C:4]1[H:16]
2,1,[C:1](#[C:2][C:3]([H:14])([H:15])[H:16])[H:13].[C:4]([C:5](=[O:6])[C:7]#[N+:8][O-:9])([H:10])([H:11])[H:12]>>[C:1]1([H:13])=[C:2]([C:3]([H:14])([H:15])[H:16])[O:9][N:8]=[C:7]1[C:5]([C:4]([H:10])([H:11])[H:12])=[O:6]
3,1,[C:1](#[C:2][C:3]([H:14])([H:15])[H:16])[H:13].[C:4]([C:5](=[O:6])[C:7]#[N+:8][O-:9])([H:10])([H:11])[H:12]>>[C:1]1([H:13])=[C:2]([C:3]([H:14])([H:15])[H:16])[C:7]([C:5]([C:4]([H:10])([H:11])[H:12])=[O:6])=[N:8][O:9]1
4,2,[C:1]([C:2]#[C:3][C:4]([H:15])([H:16])[H:17])([H:12])([H:13])[H:14].[C:5]([N-:6][N+:7]#[C:8][C:9]([C:10]([H:21])([H:22])[H:23])=[O:11])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4]([H:15])([H:16])[H:17])[N:6]([C:5]([H:18])([H:19])[H:20])[N:7]=[C:8]1[C:9]([C:10]([H:21])([H:22])[H:23])=[O:11])([H:12])([H:13])[H:14]
5,3,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][F:7])[H:15])([H:12])([H:13])[H:14].[C:8]([C:9](=[O+:10][O-:11])[H:19])([H:16])([H:17])[H:18]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:9]([C:8]([H:16])([H:17])[H:18])([H:19])[O:10][O:11]1)[H:15])([H:12])([H:13])[H:14]
6,3,[C:1]([N:2]([C:3](=[O:4])[C:5]#[C:6][F:7])[H:15])([H:12])([H:13])[H:14].[C:8]([C:9](=[O+:10][O-:11])[H:19])([H:16])([H:17])[H:18]>>[C:1]([N:2]([C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][C:9]1([C:8]([H:16])([H:17])[H:18])[H:19])[H:15])([H:12])([H:13])[H:14]
7,4,[C-:8]([O+:9]=[C:10]([C:11]([H:15])([H:16])[H:17])[H:14])([H:12])[H:13].[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])[C:8]([H:12])([H:13])[O:9][C:10]1([C:11]([H:15])([H:16])[H:17])[H:14])([H:18])([H:19])[H:20]
8,4,[C-:8]([O+:9]=[C:10]([C:11]([H:15])([H:16])[H:17])[H:14])([H:12])[H:13].[C:1]([C:2]#[C:3][C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])([H:18])([H:19])[H:20]>>[C:1]([C:2]1=[C:3]([C:4](=[O:5])[N:6]([C:7]([H:22])([H:23])[H:24])[H:21])[C:10]([C:11]([H:15])([H:16])[H:17])([H:14])[O:9][C:8]1([H:12])[H:13])([H:18])([H:19])[H:20]
9,5,[C:1](=[C:2]([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[H:20])([H:13])[H:14].[C:5]([C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12])([H:21])([H:22])[H:23]>>[C:1]1([H:13])([H:14])[C:2]([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[C:10]([C:11]#[N:12])=[N:9][C:6]1([C:5]([H:21])([H:22])[H:23])[C:7]#[N:8]
